baseline_id,paper_accuracy,paper_precision,paper_recall,paper_f1,id_accuracy,id_precision,id_recall,id_f1,id_smishing_recall,ood_accuracy,ood_precision,ood_recall,ood_f1,ood_smishing_recall
bl_llm_01_A,,,,,0.8582928870292903,0.8419452671062402,0.8582928870292903,0.8455578029980633,0.4640625,0.4730275229357798,1.0,0.4730275229357798,0.6422340323361697,0.4730275229357798
bl_llm_01_B,,,,,0.8846945606694561,0.8655337374187073,0.8846945606694561,0.8680312726433292,0.5078125,0.5124770642201835,1.0,0.5124770642201835,0.6776500192336126,0.5124770642201835
bl_llm_01_C,,,,,0.8950794979079498,0.8848798758448322,0.8950794979079498,0.8860869969413259,0.5625,0.5732110091743119,1.0,0.5732110091743119,0.7287016674327341,0.5732110091743119
bl_llm_01_D,,,,,0.9124644443464444,0.9105404961762484,0.9124644443464444,0.91046126003625,0.634375,0.6385321100917432,1.0,0.6385321100917432,0.7793770531486202,0.6385321100917432
bl_llm_02,0.9861,0.9899,0.9815,0.9857,0.9347280334728033,0.9326484427677622,0.9347280334728033,0.9320796047757515,0.8109375,0.7007339449541284,1.0,0.7007339449541284,0.8239861375734169,0.7007339449541284
bl_nlp_01,0.916,0.93,0.92,0.92,0.9096234309623432,0.9090790726550054,0.9096234309623432,0.8956998414030309,0.6484375,0.4919266055045871,1.0,0.4919266055045871,0.6589844630018902,0.4919266055045871
bl_nlp_02,0.974,0.99,0.98,0.98,0.9338912133891213,0.9330471012710844,0.9338912133891213,0.928336319608684,0.7109375,0.6091743119266055,1.0,0.6091743119266055,0.7569846393719187,0.6091743119266055
bl_nn_01,0.9982,0.9939,0.978,0.9856,0.8148953974895399,0.8229112756524797,0.8148953974895399,0.8060867770344972,0.871875,0.3222018348623853,1.0,0.3222018348623853,0.486875123668871,0.3222018348623853
bl_nn_02,0.996,0.9937,0.9951,0.9944,0.8498744769874478,0.8511449324383269,0.8498744769874478,0.8368645598676157,0.9953125,0.3623853211009175,1.0,0.3623853211009175,0.5317945212154701,0.3623853211009175
