baseline_id,accuracy_paper,accuracy_ood,accuracy_delta,precision_paper,precision_ood,precision_delta,recall_paper,recall_ood,recall_delta,f1_paper,f1_ood,f1_delta
bl_nlp_02,0.974,0.9338912133891213,-0.04010878661087869,0.99,0.9330471012710843,-0.056952898728915735,0.98,0.9338912133891213,-0.046108786610878694,0.98,0.9283363196086841,-0.05166368039131586
bl_nlp_02,0.974,0.9338912133891213,-0.04010878661087869,0.99,0.9330471012710843,-0.056952898728915735,0.98,0.9338912133891213,-0.046108786610878694,0.98,0.9283363196086841,-0.05166368039131586
bl_nlp_02,0.974,0.9338912133891213,-0.04010878661087869,0.99,0.9330471012710843,-0.056952898728915735,0.98,0.9338912133891213,-0.046108786610878694,0.98,0.9283363196086841,-0.05166368039131586
bl_nlp_02,0.974,0.9338912133891213,-0.04010878661087869,0.99,0.9330471012710843,-0.056952898728915735,0.98,0.9338912133891213,-0.046108786610878694,0.98,0.9283363196086841,-0.05166368039131586
bl_nlp_02,0.974,0.9338912133891213,-0.04010878661087869,0.99,0.9330471012710843,-0.056952898728915735,0.98,0.9338912133891213,-0.046108786610878694,0.98,0.9283363196086841,-0.05166368039131586
bl_nn_01,0.9982,0.8476987447698745,-0.15050125523012547,0.9939,0.8321514423500894,-0.16174855764991058,0.978,0.8476987447698745,-0.13030125523012548,0.9856,0.8305715081901868,-0.15502849180981326
bl_nn_01,0.9982,0.8209205020920503,-0.17727949790794972,0.9939,0.8060419755578153,-0.1878580244421847,0.978,0.8209205020920503,-0.15707949790794973,0.9856,0.8054044915037144,-0.18019550849628563
bl_nn_01,0.9982,0.8209205020920503,-0.17727949790794972,0.9939,0.8131928986358439,-0.18070710136415613,0.978,0.8209205020920503,-0.15707949790794973,0.9856,0.80781672495666,-0.17778327504334002
bl_nn_01,0.9982,0.8485355648535565,-0.14966443514644345,0.9939,0.8324118798963349,-0.1614881201036651,0.978,0.8485355648535565,-0.12946443514644346,0.9856,0.831615947507179,-0.153984052492821
bl_nn_01,0.9982,0.7364016736401674,-0.2617983263598326,0.9939,0.8307581818223153,-0.1631418181776847,0.978,0.7364016736401674,-0.24159832635983258,0.9856,0.7550252130147453,-0.2305747869852547
bl_nlp_01,0.916,0.9096234309623431,-0.006376569037656932,0.93,0.9090790726550053,-0.020920927344994733,0.92,0.9096234309623431,-0.010376569037656935,0.92,0.8956998414030308,-0.024300158596969212
bl_nlp_01,0.916,0.9096234309623431,-0.006376569037656932,0.93,0.9090790726550053,-0.020920927344994733,0.92,0.9096234309623431,-0.010376569037656935,0.92,0.8956998414030308,-0.024300158596969212
bl_nlp_01,0.916,0.9096234309623431,-0.006376569037656932,0.93,0.9090790726550053,-0.020920927344994733,0.92,0.9096234309623431,-0.010376569037656935,0.92,0.8956998414030308,-0.024300158596969212
bl_nlp_01,0.916,0.9096234309623431,-0.006376569037656932,0.93,0.9090790726550053,-0.020920927344994733,0.92,0.9096234309623431,-0.010376569037656935,0.92,0.8956998414030308,-0.024300158596969212
bl_nlp_01,0.916,0.9096234309623431,-0.006376569037656932,0.93,0.9090790726550053,-0.020920927344994733,0.92,0.9096234309623431,-0.010376569037656935,0.92,0.8956998414030308,-0.024300158596969212
bl_nn_02,0.996,0.8418410041841005,-0.15415899581589954,0.9937,0.8510045942261033,-0.14269540577389672,0.9951,0.8418410041841005,-0.15325899581589952,0.9944,0.8314403999078411,-0.16295960009215882
bl_nn_02,0.996,0.8577405857740585,-0.13825941422594146,0.9937,0.8522436209423624,-0.14145637905763764,0.9951,0.8577405857740585,-0.13735941422594145,0.9944,0.842475464640239,-0.15192453535976091
bl_nn_02,0.996,0.8560669456066946,-0.1399330543933054,0.9937,0.8511795857487328,-0.14252041425126727,0.9951,0.8560669456066946,-0.13903305439330538,0.9944,0.841003571045412,-0.15339642895458794
bl_nn_02,0.996,0.8485355648535565,-0.14746443514644347,0.9937,0.8504746244951163,-0.14322537550488368,0.9951,0.8485355648535565,-0.14656443514644346,0.9944,0.8358270995466397,-0.15857290045336025
bl_nn_02,0.996,0.8451882845188284,-0.15081171548117156,0.9937,0.8508222367793202,-0.1428777632206798,0.9951,0.8451882845188284,-0.14991171548117155,0.9944,0.833576264197946,-0.160823735802054
bl_llm_02,0.9861,0.9305439330543933,-0.055556066945606664,0.9899,0.919553662242531,-0.07034633775746901,0.9815,0.9305439330543933,-0.050956066945606726,0.9857,0.9204858241602407,-0.0652141758397593
bl_llm_02,0.9861,0.9313807531380753,-0.05471924686192464,0.9899,0.9248095945086092,-0.06509040549139078,0.9815,0.9313807531380753,-0.050119246861924704,0.9857,0.9256105025962272,-0.060089497403772785
bl_llm_02,0.9861,0.9372384937238494,-0.0488615062761506,0.9899,0.9483442894582204,-0.041555710541779645,0.9815,0.9372384937238494,-0.044261506276150664,0.9857,0.9424711760669361,-0.04322882393306393
bl_llm_02,0.9861,0.9397489539748954,-0.046351046025104536,0.9899,0.9396520689106864,-0.05024793108931358,0.9815,0.9397489539748954,-0.0417510460251046,0.9857,0.9402126893461769,-0.045487310653823165
bl_llm_02,0.9861,0.9347280334728033,-0.051371966527196666,0.9899,0.9308825987187638,-0.059017401281236226,0.9815,0.9347280334728033,-0.04677196652719673,0.9857,0.9316178317091766,-0.05408216829082346
